NAME,P,WEBSITE,LPP,DPP,VENDOR,FBP
"TRUMP, DONALD",R,donaldjtrump.com,1,AMT,Anedot,1
"BENNET, MICHAEL",D,michaelbennet.com,1,0,ActBlue,1
"BIDEN, JOE",D,joebiden.com,1,STD,ActBlue,1
"BOOKER, CORY",D,corybooker.com,1,STD,ActBlue,1
"BUTTIGIEG, PETE",D,peteforamerica.com,1,AMT,ActBlue,1
"CASTRO, JULIAN",D,julianforthefuture.com,0,0,ActBlue,0
"DE BLASIO, BILL",D,billdeblasio.com,1,AMT,ActBlue,1
"DELANEY, JOHN",D,johndelaney.com,1,AMT,ActBlue,1
"GABBARD, TULSI",D,tulsi2020.com,1,AMT,ActBlue,1
"GILLIBRAND, KIRSTEN",D,kirstengillibrand.com,1,AMT,ActBlue,1
"HARRIS, KAMALA",D,kamalaharris.org,1,AMT,ActBlue,1
"HICKENLOOPER, JOHN",D,hickenlooper.com,1,AMT,ActBlue,1
"INSLEE, JAY",D,jayinslee.com,1,AMT,ActBlue,1
"KLOBUCHAR, AMY",D,amyklobuchar.com,1,STD,ActBlue,1
"O'ROURKE, BETO",D,betoorourke.com,1,AMT,ActBlue,1
"RYAN, TIM",D,timryanforamerica.com,1,0,ActBlue,1
"SANDERS, BERNIE",D,berniesanders.com,1,STD,ActBlue,1
"SWALWELL, ERIC",D,ericswalwell.com,1,AMT,ActBlue,1
"WARREN, ELIZABETH",D,elizabethwarren.com,1,STD,ActBlue,1
"WILLIAMSON, MARIANNE",D,marianne2020.com,1,AMT,ActBlue,1
"YANG, ANDREW",D,yang2020.com,1,AMT,ActBlue,1